Code;Latitude;Longitude;restaurant_count;restaurant_is_capped;school_count;school_is_capped;bank_count;bank_is_capped;hospital_count;hospital_is_capped;total_poi;road_types;road_types_desc;road_score;is_main_road;intersection_count;radius_m;alfamidi_count;other_minimarket_count;supermarket_count;total_retail_capped;is_capped;growth_rate_annual;pop_2020;pop_2026_est;density_2020;density_2026_est;category_2026;Status;Region
1423;-693.673.844.926.711;107.706.711.441.278;20;1;20;1;20;1;7;0;67;secondary,residential,secondary_link,trunk_link,trunk;jalan penghubung utama,jalan perumahan,akses jalan penghubung,akses jalan besar,jalan besar penghubung antar kota;9;1;24;1500;1;9;10;10;1;0.90%;101966;107597;14425.22;15221.92;high;1;2
2352;-636.069;10.674.819;20;1;20;1;20;1;16;0;76;residential,tertiary,trunk,living_street,trunk_link;jalan perumahan,jalan lokal besar,jalan besar penghubung antar kota,jalan kecil / gang,trunk_link;9;1;23;1000;1;10;9;10;1;1.30%;32252;34850;10265.97;11093.2;medium;1;1
2419;-633.729;10.678.149;20;1;20;1;20;1;20;1;80;residential,secondary,tertiary,living_street;jalan perumahan,jalan penghubung utama,jalan lokal besar,jalan kecil / gang;10;1;37;1000;1;12;7;10;1;0.90%;50352;53133;16027.51;16912.71;high;1;1
1925;367.077.535.341.243;987.509.351.018.524;20;1;20;1;7;0;8;0;55;primary,residential,living_street;jalan utama kota,jalan perumahan,jalan kecil / gang;8;1;32;2000;1;4;11;10;1;1.90%;20492;22942;1630.73;1825.69;low;1;3
2517;-633.036.788.922.301;106.080.937.722.422;20;1;20;1;7;0;11;0;58;tertiary,trunk,unclassified,residential;jalan lokal besar,jalan besar penghubung antar kota,jalan umum kecil,jalan perumahan;8;1;25;1500;2;8;10;10;1;1.70%;19345;21404;2736.77;3028.06;low;1;2
1447;-693.192.215.833.772;107.714.959.904.551;20;1;20;1;20;1;12;0;72;trunk,living_street,tertiary,residential;jalan besar penghubung antar kota,jalan kecil / gang,jalan lokal besar,jalan perumahan;9;1;35;1500;1;10;9;10;1;0.90%;114418;120737;16186.86;17080.86;high;1;2
1450;-685.428.627.352.497;107.538.178.525.865;20;1;20;1;12;0;6;0;58;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;34;1500;1;10;9;10;1;1.70%;46331;51262;6554.48;7252.11;low;1;2
1406;-695.010.871.517.739;107.676.347.829.401;20;1;20;1;20;1;20;1;80;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;24;1500;0;11;9;10;1;1.30%;96294;104054;13622.84;14720.56;high;1;2
1043;-673.652.454.693.735;107.043.335.828.269;20;1;20;1;20;1;3;0;63;trunk,residential,unclassified,living_street;jalan besar penghubung antar kota,jalan perumahan,jalan umum kecil,jalan kecil / gang;6;1;28;1500;1;7;12;10;1;1.70%;51412;56884;7273.35;8047.48;low;1;2
1120;-717.569.458.822.584;107.890.534.890.636;20;1;20;1;12;0;2;0;54;primary,residential;jalan utama kota,jalan perumahan;7;1;22;1500;0;17;3;10;1;1.70%;37412;41394;5292.67;5856;low;1;2
1122;-69.637.435.248.229;107.798.918.801.626;20;1;20;1;4;0;3;0;47;secondary,trunk,residential;jalan penghubung utama,jalan besar penghubung antar kota,jalan perumahan;9;1;13;1500;1;9;10;10;1;1.70%;67288;74449;9519.26;10532.44;medium;1;2
2631;-6.434.409;106.796.659;20;1;20;1;20;1;16;0;76;residential,secondary,living_street;jalan perumahan,jalan penghubung utama,jalan kecil / gang;7;1;60;1000;0;9;11;10;1;1.30%;33323;36008;10606.92;11461.62;medium;1;1
2389;-642.148;10.679.619;20;1;20;1;13;0;15;0;68;secondary,residential,living_street;jalan penghubung utama,jalan perumahan,jalan kecil / gang;7;1;74;1000;1;7;12;10;1;1.30%;36901;39874;11745.84;12692.31;medium;1;1
1002;-62.232.648.288.611;106.885.098.481.711;20;1;20;1;20;1;20;1;80;residential,secondary,tertiary,living_street;jalan perumahan,jalan penghubung utama,jalan lokal besar,jalan kecil / gang;10;1;104;1000;0;8;12;10;1;0.50%;57051;58784;18160.02;18711.68;very_high;1;1
2163;-622.082.967.044.143;10.688.617.921.024;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;1000;0;8;12;10;1;0.50%;57720;59473;18372.72;18930.84;very_high;0;1
1274;-622.324.179.694.938;106.891.414.439.944;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;59;1000;0;7;13;10;1;0.50%;57969;59730;18452.07;19012.6;very_high;1;1
2455;-614.897;10.617.735;20;1;20;1;7;0;0;0;47;unclassified,secondary,residential,living_street,secondary_link;jalan umum kecil,jalan penghubung utama,jalan perumahan,jalan kecil / gang,akses jalan penghubung;7;1;52;1500;1;12;7;10;1;1.70%;28904;31980;4089.05;4524.27;low;1;2
2374;-613.758;10.617.147;20;1;20;1;9;0;8;0;57;secondary_link,secondary,residential,tertiary,living_street;akses jalan penghubung,jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;39;1500;1;11;8;10;1;1.70%;40405;44706;5716.19;6324.59;low;1;2
1299;-632.960.969.010.717;106.875.309.588.955;20;1;20;1;20;1;20;1;80;living_street,tertiary,residential;jalan kecil / gang,jalan lokal besar,jalan perumahan;6;0;21;1000;1;8;11;10;1;0.90%;46800;49384;14896.82;15719.56;high;1;1
2058;-6.312.874.038.566;106.769.836.302.318;20;1;20;1;20;1;20;1;80;secondary,residential,tertiary,living_street;jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;49;1000;0;10;10;10;1;1.30%;34101;36849;10854.67;11729.33;medium;0;1
1092;-612.549;10.623.039;20;1;20;1;20;1;6;0;66;unmapped;unmapped;0;0;0;1500;2;8;10;10;1;1.70%;33229;36766;4700.95;5201.3;low;0;2
1063;-667.951.760.224.306;106.931.778.865.421;20;1;20;1;19;0;9;0;68;trunk,residential,tertiary,trunk_link;jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar,akses jalan besar;8;1;16;1000;2;9;9;10;1;1.70%;42190;46680;5968.65;6603.92;low;1;1
1314;-6.678.751;106.930.205;20;1;20;1;19;0;9;0;68;trunk,tertiary,residential,trunk_link;jalan besar penghubung antar kota,jalan lokal besar,jalan perumahan,akses jalan besar;8;1;18;1000;2;8;10;10;1;1.70%;40964;45324;5795.28;6412.1;low;1;1
2515;-634.204.972.425.148;106.636.785.215.326;20;1;20;1;12;0;4;0;56;primary,secondary,residential,tertiary,living_street;jalan utama kota,jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;35;1000;2;10;8;10;1;1.70%;19602;21689;6239.61;6903.72;low;1;1
1958;-631.905.970.798.609;106.643.376.649.911;20;1;20;1;13;0;3;0;56;unmapped;unmapped;0;0;0;1000;0;16;4;10;1;1.70%;23837;26375;7587.68;8395.28;low;0;1
1410;-626.284;10.642.393;20;1;20;1;16;0;10;0;66;unmapped;unmapped;0;0;0;1500;0;11;9;10;1;1.70%;25223;27908;3568.37;3948.17;low;0;1
2531;-62.636.590.771.525;10.652.528.106.863;20;1;20;1;20;1;8;0;68;unclassified,residential,living_street;jalan umum kecil,jalan perumahan,jalan kecil / gang;3;0;4;1000;1;11;8;10;1;1.70%;23712;26235;7547.61;8350.93;low;1;1
2345;-61.433;10.669.772;20;1;20;1;20;1;20;1;80;secondary,residential,tertiary,living_street;jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;23;1000;0;14;6;10;1;0.50%;71060;73219;22619.24;23306.35;very_high;1;1
3388;-7.037.043;110.458.069;20;1;20;1;15;0;7;0;62;residential,secondary,living_street;jalan perumahan,jalan penghubung utama,jalan kecil / gang;7;1;68;1500;0;10;10;10;1;1.70%;32718;36201;4628.67;5121.33;low;1;2
1006;-643.550.261.434.907;107.050.573.877.892;20;1;20;1;16;0;10;0;66;primary_link,primary,living_street,residential,unclassified;akses jalan utama,jalan utama kota,jalan kecil / gang,jalan perumahan,jalan umum kecil;8;1;7;1000;1;9;10;10;1;1.70%;13801;15270;4393.08;4860.66;low;1;1
1213;-645.617.849.569.877;10.704.255.818.276;20;1;20;1;2;0;1;0;43;unclassified,residential;jalan umum kecil,jalan perumahan;2;0;117;1000;2;12;6;10;1;1.70%;12568;13905;4000.39;4426.17;low;1;1
1285;-645.623.256.563.522;107.034.660.306.499;20;1;20;1;2;0;2;0;44;unclassified,residential;jalan umum kecil,jalan perumahan;2;0;160;1000;2;13;5;10;1;1.70%;13640;15091;4341.6;4803.69;low;1;1
2682;-63.281.998;106.394.962;20;1;20;1;5;0;1;0;46;primary,residential,tertiary,living_street;jalan utama kota,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;12;1500;1;6;5;10;1;1.70%;13368;14791;1891.18;2092.47;low;1;2
2499;-623.784;10.652.404;20;1;20;1;20;1;20;1;80;residential,secondary;jalan perumahan,jalan penghubung utama;6;1;113;1000;0;11;9;10;1;1.70%;30974;34271;9859.38;10908.76;medium;1;1
2498;-624.661.481.454.977;106.530.182.258.644;20;1;20;1;20;1;12;0;72;primary,primary_link,secondary,tertiary,residential,living_street,tertiary_link,secondary_link;jalan utama kota,akses jalan utama,jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan kecil / gang,akses jalan lokal,akses jalan penghubung;10;1;41;1000;0;13;7;10;1;1.70%;23807;26341;7578.15;8384.73;low;1;1
2089;3.606.206;98.725.097;20;1;20;1;18;0;17;0;75;tertiary,residential,tertiary_link;jalan lokal besar,jalan perumahan,akses jalan lokal;5;0;27;2000;1;9;10;10;1;1.90%;70504;78933;5610.5;6281.26;low;1;3
3649;143.770.250.709.957;124.844.412.334.387;20;1;20;1;12;0;6;0;58;trunk,residential,trunk_link;jalan besar penghubung antar kota,jalan perumahan,akses jalan besar;5;1;17;2000;2;8;10;10;1;1.90%;41534;46499;3305.15;3700.29;low;1;5
1960;144.010.125.993.276;124.848.768.646.937;20;1;20;1;9;0;7;0;56;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;19;2000;2;9;9;10;1;1.90%;41746;46737;3322.02;3719.18;low;0;5
1184;-650.922.571.897.262;107.459.917.776.496;20;1;20;1;20;1;5;0;65;motorway_link,trunk,primary,trunk_link,residential,tertiary;akses masuk/keluar tol,jalan besar penghubung antar kota,jalan utama kota,akses jalan besar,jalan perumahan,jalan lokal besar;10;1;46;1500;1;12;7;10;1;1.70%;31566;34925;4465.62;4940.91;low;1;2
1075;-633.679;10.734.345;20;1;20;1;20;1;10;0;70;tertiary,living_street,residential;jalan lokal besar,jalan kecil / gang,jalan perumahan;6;0;84;1500;1;13;6;10;1;1.70%;38846;42981;5495.6;6080.52;low;1;2
1379;-64.527.173;1.069.563.899;20;1;20;1;11;0;3;0;54;tertiary,living_street,residential;jalan lokal besar,jalan kecil / gang,jalan perumahan;6;0;68;1000;0;13;7;10;1;1.70%;14417;15952;4589.21;5077.65;low;1;1
2092;2.985.348;9.962.637;20;1;20;1;20;1;20;1;80;residential,living_street,secondary,unclassified,secondary_link;jalan perumahan,jalan kecil / gang,jalan penghubung utama,jalan umum kecil,akses jalan penghubung;7;1;40;2000;2;13;5;10;1;1.90%;41047;45954;3266.42;3656.94;low;1;3
3490;-34.099.703;1.193.175.584;20;1;20;1;8;0;13;0;61;residential,trunk,tertiary;jalan perumahan,jalan besar penghubung antar kota,jalan lokal besar;8;1;45;2000;0;10;10;10;1;1.90%;26622;29805;2118.51;2371.79;low;0;5
1035;29.661.135.022.705;990.677.827.412.039;20;1;20;1;20;1;20;1;80;tertiary,residential,secondary,unclassified,living_street;jalan lokal besar,jalan perumahan,jalan penghubung utama,jalan umum kecil,jalan kecil / gang;10;1;42;2000;1;10;9;10;1;1.90%;90780;101633;7224.04;8087.7;low;0;3
1009;-627.574.195.642.632;106.855.962.966.377;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;49;1000;0;12;8;10;1;0.90%;53389;56338;16994.35;17932.94;high;1;1
1058;-628.360.299.018.831;106.855.339.938.061;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;60;1000;0;12;8;10;1;0.90%;54025;57008;17196.54;18146.3;very_high;1;1
3450;-775.176.538.265.961;110.398.658.396.329;20;1;20;1;20;1;18;0;78;secondary,primary,living_street,residential;jalan penghubung utama,jalan utama kota,jalan kecil / gang,jalan perumahan;10;1;74;1500;0;9;11;10;1;1.70%;51593;57084;7298.94;8075.8;low;1;2
2339;-625.617;10.656.001;20;1;20;1;20;1;14;0;74;secondary,primary,tertiary,residential,living_street;jalan penghubung utama,jalan utama kota,jalan lokal besar,jalan perumahan,jalan kecil / gang;10;1;64;1000;1;13;6;10;1;1.70%;28707;31762;9137.66;10110.22;medium;1;1
2520;-622.531.097.808.129;106.559.785.507.794;20;1;20;1;15;0;6;0;61;secondary,secondary_link,residential,tertiary;jalan penghubung utama,akses jalan penghubung,jalan perumahan,jalan lokal besar;9;1;52;1000;1;11;8;10;1;1.30%;40231;43472;12805.81;13837.7;medium;1;1
1336;-62.016.031;1.069.261.708;20;1;20;1;20;1;18;0;78;residential,living_street;jalan perumahan,jalan kecil / gang;3;0;12;1000;1;16;3;10;1;0.50%;58825;60612;18724.68;19293.48;very_high;1;1
3033;-3.692.075;128.184.356;20;1;20;1;20;1;15;0;75;secondary,residential,primary,primary_link,tertiary,living_street;jalan penghubung utama,jalan perumahan,jalan utama kota,akses jalan utama,jalan lokal besar,jalan kecil / gang;10;1;32;2000;2;7;11;10;1;1.50%;149412;163373;11889.81;13000.84;medium;1;6
3632;147.985.160.655.034;124.855.729.680.599;20;1;20;1;20;1;20;1;80;secondary,tertiary,residential,living_street;jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan kecil / gang;10;1;61;2000;2;7;11;10;1;1.90%;78788;88208;6269.77;7019.34;low;1;5
1553;-509.581.675.528.959;119.516.376.499.039;20;1;20;1;20;1;14;0;74;residential,secondary,secondary_link;jalan perumahan,jalan penghubung utama,akses jalan penghubung;6;1;76;2000;2;10;8;10;1;1.90%;123804;138605;9851.97;11029.82;medium;1;5
3432;-773.172;110.384.082;20;1;20;1;13;0;5;0;58;secondary,residential,living_street;jalan penghubung utama,jalan perumahan,jalan kecil / gang;7;1;47;1500;1;9;10;10;1;1.70%;34356;38013;4860.36;5377.67;low;1;2
2438;-626.000.179.650.607;106.800.852.165.725;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;60;1000;1;8;11;10;1;0.90%;47894;50540;15245.28;16087.27;high;1;1
2391;-599.328;1.060.303;20;1;20;1;20;1;8;0;68;trunk,unclassified,tertiary,residential,trunk_link,tertiary_link;jalan besar penghubung antar kota,jalan umum kecil,jalan lokal besar,jalan perumahan,akses jalan besar,akses jalan lokal;8;1;42;1500;0;12;8;10;1;1.70%;29748;32914;4208.46;4656.38;low;1;2
2771;-797.622.230.121.785;112.662.649.640.277;20;1;20;1;20;1;4;0;64;residential,tertiary,tertiary_link,living_street;jalan perumahan,jalan lokal besar,akses jalan lokal,jalan kecil / gang;6;0;93;1500;1;10;9;10;1;1.70%;68478;75767;9687.71;10718.82;medium;1;2
1268;-614.998.732.461.051;10.688.203.978.678;20;1;20;1;20;1;20;1;80;tertiary,secondary,residential,tertiary_link;jalan lokal besar,jalan penghubung utama,jalan perumahan,tertiary_link;9;1;18;1000;1;12;7;10;1;0.90%;46949;49542;14944.2;15769.57;high;1;1
3128;-0.900147943533217;119.860.687.040.666;20;1;20;1;20;1;20;1;80;secondary,residential,unclassified,trunk;jalan penghubung utama,jalan perumahan,jalan umum kecil,jalan besar penghubung antar kota;9;1;18;2000;3;10;7;10;1;1.90%;57304;64155;971760;5105.26;low;1;5
1512;-797.942.800.147.526;112.659.778.757.682;20;1;20;1;20;1;7;0;67;secondary,tertiary,residential,living_street,tertiary_link;jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan kecil / gang,akses jalan lokal;10;1;93;1500;1;12;7;10;1;1.70%;68478;75767;9687.71;10718.82;medium;0;2
3470;-75.966;110.808;20;1;20;1;20;1;10;0;70;secondary,tertiary_link,residential,primary,living_street;jalan penghubung utama,akses jalan lokal,jalan perumahan,jalan utama kota,jalan kecil / gang;10;1;43;1500;0;7;13;10;1;1.70%;37827;41853;5351.43;5921.01;low;1;2
1521;-727.212.798.254.019;112.756.159.255.331;20;1;20;1;20;1;20;1;80;secondary,residential,living_street,secondary_link;jalan penghubung utama,jalan perumahan,jalan kecil / gang,akses jalan penghubung;7;1;65;1500;0;6;14;10;1;1.30%;84841;91677;12002.48;12969.63;medium;0;2
1347;-620.417.599.999.999;107.048.867.999.999;20;1;20;1;16;0;16;0;72;residential,living_street;jalan perumahan,jalan kecil / gang;3;0;64;1000;1;7;8;10;1;1.70%;16251;17980;5172.75;5723.31;low;1;1
2832;-728.225.617.866.801;112.695.149.568.708;20;1;20;1;20;1;4;0;64;residential,tertiary;jalan perumahan,jalan lokal besar;5;0;52;1500;3;4;13;10;1;1.70%;69815;77245;9876.77;10928;medium;1;2
3715;1.155.973;127.829.167;11;0;20;1;2;0;0;0;33;residential,unclassified;jalan perumahan,jalan umum kecil;2;0;16;2000;2;3;2;7;0;1.90%;3992;4469;317.68;355.66;low;1;6
2087;3.608.744;98.511.253;20;1;20;1;20;1;20;1;80;residential,primary,unclassified,tertiary,living_street,primary_link;jalan perumahan,jalan utama kota,jalan umum kecil,jalan lokal besar,jalan kecil / gang,akses jalan utama;10;1;63;2000;1;8;11;10;1;1.90%;58919;65963;1018450;5249.14;low;1;3
2180;-0.892386410666345;119.847.449.816.773;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;2000;2;9;9;10;1;0.00%;0;0;0;0;no_population;0;5
1781;358.136;9.873.044;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;2000;1;10;9;10;1;1.90%;65899;73777;5244.06;5871.01;low;0;3
3096;-3.401.111;127.025.917;11;0;11;0;0;0;1;0;23;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;1;2000;2;3;0;5;0;1.90%;1363;1526;108.45;121.42;low;1;6
3528;-417.853;1.216.123;20;1;20;1;8;0;1;0;49;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;32;2000;1;8;7;10;1;1.90%;16792;18800;1336.27;1496.02;low;1;5
3728;145.962;12.493.258;20;1;20;1;5;0;2;0;47;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;9;2000;0;14;6;10;1;1.90%;10816;12109;860.7;963.6;low;1;5
2502;35.376.359;987.305.441;20;1;20;1;14;0;11;0;65;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;10;2000;2;6;12;10;1;1.90%;42418;47489;3375.53;3779.08;low;0;3
2095;35.084.529;986.790.822;20;1;20;1;20;1;11;0;71;residential,primary,living_street;jalan perumahan,jalan utama kota,jalan kecil / gang;8;1;37;2000;1;6;13;10;1;1.90%;46178;51699;3674.75;4114.09;low;1;3
1436;-635.872.774.966.956;107.184.281.162.917;20;1;20;1;20;1;3;0;63;residential;jalan perumahan;2;0;16;1500;1;10;9;10;1;1.70%;21192;23448;6745.73;7463.71;low;1;1
3424;-68.039.469;1.108.404.281;20;1;20;1;20;1;3;0;63;tertiary,living_street,residential;jalan lokal besar,jalan kecil / gang,jalan perumahan;6;0;60;1500;1;11;8;10;1;1.70%;63418;70168;8971.77;9926.68;low;1;2
1429;-724.899.986.142.651;112.720.523.675.148;20;1;20;1;20;1;20;1;80;residential,living_street,trunk,trunk_link;jalan perumahan,jalan kecil / gang,jalan besar penghubung antar kota,akses jalan besar;6;1;55;1500;2;11;7;10;1;1.70%;51029;56461;7219.19;7987.56;low;0;2
2571;-630.617.721.321.988;106.747.289.162.402;20;1;20;1;20;1;20;1;80;secondary,residential,living_street;jalan penghubung utama,jalan perumahan,jalan kecil / gang;7;1;53;1000;2;8;10;10;1;1.30%;37109;40099;11812.22;12764.05;medium;1;1
2017;52.347.643;970.268.264;20;1;20;1;4;0;3;0;47;trunk,residential,tertiary,living_street;jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar,jalan kecil / gang;9;1;35;2000;1;12;7;10;1;1.90%;18051;20209;1436.42;1608.15;low;1;3
2066;-619.750.204.765.409;10.669.438.246.098;20;1;20;1;20;1;20;1;80;secondary,secondary_link,residential,living_street,unclassified,tertiary,tertiary_link;jalan penghubung utama,akses jalan penghubung,jalan perumahan,jalan kecil / gang,jalan umum kecil,jalan lokal besar,akses jalan lokal;10;1;74;1000;0;14;6;10;1;0.90%;46510;49079;14804.75;15622.41;high;0;1
1181;-624.987.262.196.202;106.866.030.497.123;20;1;20;1;20;1;20;1;80;living_street,residential;jalan kecil / gang,jalan perumahan;3;0;20;1000;1;14;5;10;1;0.90%;53272;56214;16957.09;17893.62;high;1;1
1896;20.960.628;998.496.296.999.999;20;1;20;1;20;1;9;0;69;unclassified,living_street,residential;jalan umum kecil,jalan kecil / gang,jalan perumahan;3;0;23;2000;0;8;12;10;1;1.90%;16135;18064;1283.99;1437.49;low;1;3
3054;-3.691.285;128.197.775;20;1;20;1;20;1;9;0;69;residential,tertiary;jalan perumahan,jalan lokal besar;5;0;20;2000;1;8;11;10;1;1.90%;96145;107639;7650.95;8565.65;low;1;6
1261;-625.172.854.543.622;106.864.922.387.891;20;1;20;1;20;1;20;1;80;residential,primary,living_street,primary_link;jalan perumahan,jalan utama kota,jalan kecil / gang,akses jalan utama;8;1;30;1000;1;15;4;10;1;0.90%;53272;56214;16957.09;17893.62;high;1;1
3191;-0.9266649;1.198.957.278;20;1;20;1;20;1;12;0;72;residential,secondary,tertiary;jalan perumahan,jalan penghubung utama,jalan lokal besar;9;1;82;2000;5;5;10;10;1;1.90%;44090;49362;587463;740895;low;1;5
3146;-0.919550047123014;119.893.115.810.515;20;1;20;1;20;1;13;0;73;trunk,primary,living_street,residential,secondary;jalan besar penghubung antar kota,jalan utama kota,jalan kecil / gang,jalan perumahan,jalan penghubung utama;10;1;72;2000;5;6;9;10;1;1.90%;52666;58963;836893;1020064;low;1;5
1494;-339.963.147.512.404;119.206.563.826.442;20;1;20;1;18;0;4;0;62;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;67;2000;0;7;13;10;1;1.90%;19278;21583;1534.08;1717.48;low;1;5
2994;-726.581.113.493.832;1.127.617.338;20;1;20;1;20;1;20;1;80;secondary,secondary_link,tertiary,residential,living_street;jalan penghubung utama,akses jalan penghubung,jalan lokal besar,jalan perumahan,jalan kecil / gang;10;1;34;1500;0;6;14;10;1;1.30%;97513;105370;13795.25;14906.87;high;1;2
2622;-602.772;10.605.459;20;1;20;1;20;1;18;0;78;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;52;1500;2;10;8;10;1;1.70%;32809;36301;4641.52;5135.54;low;1;2
1935;202.481.620.214.719;989.733.903.344.276;20;1;20;1;14;0;3;0;57;residential,living_street;jalan perumahan,jalan kecil / gang;3;0;8;2000;1;11;8;10;1;1.90%;9992;11187;795.15;890.21;low;1;3
1392;-0.461830185298003;117.183.920.105.488;20;1;20;1;20;1;7;0;67;unmapped;unmapped;0;0;0;2000;0;12;8;10;1;0.00%;0;0;0;0;no_population;0;4
2164;-124.453.286.347.943;116.845.815.282.212;20;1;20;1;20;1;17;0;77;secondary,tertiary,residential,unclassified,living_street;jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan umum kecil,jalan kecil / gang;10;1;46;2000;4;10;6;10;1;1.90%;85658;95899;6816.43;7631.36;low;1;4
3510;-3.700.854;128.182.533;20;1;20;1;4;0;6;0;50;tertiary,trunk,residential;jalan lokal besar,jalan besar penghubung antar kota,jalan perumahan;8;1;5;2000;3;6;11;10;1;1.50%;131644;143945;10475.88;11454.78;medium;1;5
3053;-386.892.186.089.377;122.078.466.999.509;20;1;20;1;20;1;19;0;79;trunk,unclassified,living_street,residential,primary;jalan besar penghubung antar kota,jalan umum kecil,jalan kecil / gang,jalan perumahan,jalan utama kota;10;1;21;2000;0;4;4;8;0;1.90%;5391;6036;429.03;480.32;low;1;6
2039;128.157.686.579.701;976.272.804.245.375;20;1;20;1;16;0;6;0;62;residential,tertiary,trunk,living_street;jalan perumahan,jalan lokal besar,jalan besar penghubung antar kota,jalan kecil / gang;9;1;7;2000;4;10;6;10;1;1.90%;34715;38865;2762.51;3092.77;low;1;3
2048;-260.672.315.461.918;140.654.837.309.821;20;1;20;1;20;1;10;0;70;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;34;2000;5;7;8;10;1;1.90%;33219;37190;2643.46;2959.5;low;1;3
2044;12.769.422;976.302.968;20;1;20;1;10;0;4;0;54;trunk,living_street,residential;jalan besar penghubung antar kota,jalan kecil / gang,jalan perumahan;6;1;14;2000;3;8;9;10;1;1.90%;26180;29310;2083.33;157877;low;1;3
2267;-0.57651809493;1.172.029.228.745;20;1;20;1;3;0;1;0;44;residential;jalan perumahan;2;0;47;2000;0;9;9;10;1;1.90%;6150;6885;489.36;547.87;low;1;4
2019;1.286.095;9.762.347;20;1;20;1;16;0;7;0;63;residential,trunk,living_street,primary,secondary,tertiary;jalan perumahan,jalan besar penghubung antar kota,jalan kecil / gang,jalan utama kota,jalan penghubung utama,jalan lokal besar;10;1;9;2000;5;9;6;10;1;1.90%;37378;41847;2974.47;522511;low;1;3
2125;-191.312;11.619.613;20;1;20;1;20;1;8;0;68;unmapped;unmapped;0;0;0;2000;1;5;14;10;1;1.90%;7517;8416;598.21;669.72;low;1;4
1968;298.326.988.622.196;996.225.191.469.778;20;1;20;1;20;1;20;1;80;residential,tertiary,secondary,unclassified,living_street,secondary_link;jalan perumahan,jalan lokal besar,jalan penghubung utama,jalan umum kecil,jalan kecil / gang,akses jalan penghubung;10;1;44;2000;2;13;5;10;1;1.90%;41047;45954;3266.42;3656.94;low;1;3
3342;-76.236.950.616.237;11.153.042.170.275;20;1;20;1;20;1;20;1;80;secondary,trunk,residential,tertiary,living_street;jalan penghubung utama,jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;55;1500;0;6;14;10;1;1.70%;51432;56906;7276.14;8050.57;low;1;2
2123;0.48783;11.753.131;20;1;20;1;20;1;5;0;65;tertiary,residential,living_street,tertiary_link;jalan lokal besar,jalan perumahan,jalan kecil / gang,akses jalan lokal;6;0;43;2000;1;12;7;10;1;1.90%;6499;7276;517.19;579.03;low;1;4
1750;-2.576.455;140.505.146;20;1;20;1;19;0;2;0;61;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;59;2000;0;9;11;10;1;1.90%;16535;18512;1315.83;1473.14;low;1;7
1722;-25.312.413;1.407.194.912;20;1;20;1;20;1;19;0;79;unclassified,secondary,residential,tertiary,living_street;jalan umum kecil,jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;43;2000;2;10;8;10;1;1.90%;49587;55515;3946.01;4417.77;low;1;7
1721;-25.199.166;1.407.295.013;20;1;20;1;12;0;1;0;53;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;22;2000;2;13;5;10;1;1.90%;34034;38103;2708.37;3032.17;low;1;7
2946;-7.816.157.816.989;112.038.364.620.122;20;1;20;1;20;1;7;0;67;tertiary,unclassified,residential,living_street;jalan lokal besar,jalan umum kecil,jalan perumahan,jalan kecil / gang;6;0;29;1500;1;11;8;10;1;1.70%;34502;38174;4881.03;5400.54;low;1;2
